first_name,last_name,position,height,weight,country,draft_year,draft_number,id_team,conference,division,team
Dwight,Anderson,G-C,1.9,83.25,USA,1982,41,8,West,Northwest,Denver Nuggets
Richard,Anderson,G-C,2.08,108.0,USA,1982,32,25,West,Northwest,Portland Trail Blazers
Kyle,Anderson,F,2.06,103.5,USA,2014,undrafted,10,West,Pacific,Golden State Warriors
Shandon,Anderson,G-C,1.98,96.75,USA,1996,54,20,East,Atlantic,New York Knicks
Cliff,Anderson,G-C,1.88,90.0,USA,1967,35,14,West,Pacific,Los Angeles Lakers
Ryan,Anderson,F,2.08,108.0,USA,2008,21,19,West,Southwest,New Orleans Pelicans
Michael,Anderson,G-C,1.8,82.8,USA,1988,73,27,West,Southwest,San Antonio Spurs
Mitchell,Anderson,G-C,2.03,87.75,USA,1982,36,29,West,Northwest,Utah Jazz
Alan,Anderson,G-C,1.98,99.0,USA,undrafted,undrafted,3,East,Atlantic,Brooklyn Nets
Kenny,Anderson,G-C,1.85,75.60000000000001,USA,1991,2,3,East,Atlantic,Brooklyn Nets
Justin,Anderson,G-F,1.96,103.95,USA,2015,21,12,East,Central,Indiana Pacers
Willie,Anderson,G-C,2.03,90.0,USA,1988,undrafted,27,West,Southwest,San Antonio Spurs
Nick,Anderson,G-C,1.98,102.60000000000001,USA,1989,11,22,East,Southeast,Orlando Magic
Jerome,Anderson,G-C,1.96,87.75,USA,1975,53,12,East,Central,Indiana Pacers
Ron,Anderson,G-C,2.01,96.75,USA,1984,27,23,East,Atlantic,Philadelphia 76ers
Eric,Anderson,G-C,2.06,99.0,USA,undrafted,undrafted,20,East,Atlantic,New York Knicks
Antonio,Anderson,G-C,1.98,96.75,USA,undrafted,undrafted,21,West,Northwest,Oklahoma City Thunder
Wally,Anderzunas,G-C,2.01,99.0,USA,1969,25,26,West,Pacific,Sacramento Kings
Martynas,Andriuskevicius,G-C,2.18,108.0,Lithuania,2005,44,6,East,Central,Cleveland Cavaliers
Don,Anielak,G-C,2.01,85.5,USA,1954,26,20,East,Atlantic,New York Knicks
Ike,Anigbogu,C,2.08,117.9,USA,2017,47,12,East,Central,Indiana Pacers
Michael,Ansley,G-C,2.01,101.25,USA,1989,37,22,East,Southeast,Orlando Magic
Chris,Anstey,G-C,2.13,112.05,Australia,1997,18,7,West,Southwest,Dallas Mavericks
Giannis,Antetokounmpo,F,2.11,109.35000000000001,Greece,2013,15,17,East,Central,Milwaukee Bucks
Thanasis,Antetokounmpo,G-C,2.01,98.55,Greece,2014,51,17,East,Central,Milwaukee Bucks
Kostas,Antetokounmpo,F,2.08,90.0,Greece,2018,undrafted,5,East,Central,Chicago Bulls
Carmelo,Anthony,F,2.01,107.10000000000001,USA,2003,3,14,West,Pacific,Los Angeles Lakers
Greg,Anthony,G-C,1.85,81.0,USA,1991,12,20,East,Atlantic,New York Knicks
Cole,Anthony,G,1.88,83.25,USA,2020,15,22,East,Southeast,Orlando Magic
Joel,Anthony,G-C,2.06,110.25,Canada,undrafted,undrafted,16,East,Southeast,Miami Heat
Pero,Antic,G-C,2.11,117.0,Macedonia,undrafted,undrafted,1,East,Southeast,Atlanta Hawks
OG,Anunoby,F,2.01,108.0,United Kingdom,2017,23,20,East,Atlantic,New York Knicks
Keith,Appling,G-C,1.85,83.25,USA,undrafted,undrafted,22,East,Southeast,Orlando Magic
Rafael,Araujo,G-C,2.11,121.5,Brazil,2004,8,28,East,Atlantic,Toronto Raptors
Stacey,Arceneaux,G-C,1.93,94.5,USA,undrafted,undrafted,1,East,Southeast,Atlanta Hawks
Nate,Archibald,G-C,1.85,67.5,USA,1970,19,26,West,Pacific,Sacramento Kings
Robert,Archibald,G-C,2.11,112.5,Scotland,2002,31,28,East,Atlantic,Toronto Raptors
Ryan,Arcidiacono,G,1.9,87.75,USA,undrafted,undrafted,20,East,Atlantic,New York Knicks
Jim,Ard,G-C,2.06,96.75,USA,1970,6,2,East,Atlantic,Boston Celtics
Gilbert,Arenas,G-C,1.93,96.75,USA,2001,undrafted,30,East,Southeast,Washington Wizards
Trevor,Ariza,F,2.03,96.75,USA,2004,43,14,West,Pacific,Los Angeles Lakers
Paul,Arizin,G-C,1.93,85.5,USA,1950,undrafted,10,West,Pacific,Golden State Warriors
Joe,Arlauckas,G-C,2.06,103.5,USA,1987,74,26,West,Pacific,Sacramento Kings
Brandon,Armstrong,G-C,1.96,83.25,USA,2001,23,3,East,Atlantic,Brooklyn Nets
B.J.,Armstrong,G-C,1.88,83.25,USA,1989,18,5,East,Central,Chicago Bulls
Mark,Armstrong,G,1.88,81.0,USA,undrafted,undrafted,3,East,Atlantic,Brooklyn Nets
Bob,Armstrong,G-C,2.03,99.0,USA,1955,undrafted,10,West,Pacific,Golden State Warriors
Paul,Armstrong,G-C,1.8,76.5,USA,undrafted,undrafted,9,East,Central,Detroit Pistons
Tate,Armstrong,G-C,1.9,78.75,USA,1977,13,5,East,Central,Chicago Bulls
Hilton,Armstrong,G-C,2.11,105.75,USA,2006,12,19,West,Southwest,New Orleans Pelicans
Darrell,Armstrong,G-C,1.85,81.0,USA,undrafted,undrafted,22,East,Southeast,Orlando Magic
Jesse,Arnelle,G-C,1.96,99.0,USA,1955,13,9,East,Central,Detroit Pistons
Jay,Arnette,G-C,1.88,78.75,USA,1960,9,26,West,Pacific,Sacramento Kings
Bob,Arnzen,G-C,1.96,92.25,USA,1969,3,26,West,Pacific,Sacramento Kings
Carlos,Arroyo,G-C,1.88,90.0,Puerto Rico,undrafted,undrafted,22,East,Southeast,Orlando Magic
Darrell,Arthur,G-C,2.06,105.75,USA,2008,27,8,West,Northwest,Denver Nuggets
John,Arthurs,G-C,1.93,83.25,USA,1969,73,17,East,Central,Milwaukee Bucks
Jamel,Artis,G-C,2.01,95.85000000000001,USA,undrafted,undrafted,22,East,Southeast,Orlando Magic
Omer,Asik,G-C,2.13,114.75,Turkey,2008,36,19,West,Southwest,New Orleans Pelicans
Vincent,Askew,G-C,1.98,105.75,USA,1987,39,21,West,Northwest,Oklahoma City Thunder
Keith,Askins,G-C,2.03,96.75,USA,undrafted,undrafted,16,East,Southeast,Miami Heat
Richard,Atha,G-C,1.88,85.5,USA,1953,undrafted,20,East,Atlantic,New York Knicks
Chucky,Atkins,G-C,1.8,83.25,USA,undrafted,undrafted,9,East,Central,Detroit Pistons
Alvin,Attles,G-C,1.85,78.75,USA,1960,39,10,West,Pacific,Golden State Warriors
Stacey,Augmon,G-C,2.03,95.85000000000001,USA,1991,9,1,East,Southeast,Atlanta Hawks
D.J.,Augustin,G,1.8,82.35000000000001,USA,2008,9,14,West,Pacific,Los Angeles Lakers
James,Augustine,G-C,2.08,105.75,USA,2006,41,22,East,Southeast,Orlando Magic
John,Austin,G-C,1.83,76.5,USA,1966,38,30,East,Southeast,Washington Wizards
Ike,Austin,G-C,2.08,121.5,USA,1991,48,16,East,Southeast,Miami Heat
Ken,Austin,G-C,2.06,92.25,USA,1983,1,9,East,Central,Detroit Pistons
Deni,Avdija,F,2.06,108.0,Israel,2020,9,25,West,Northwest,Portland Trail Blazers
