first_name,last_name,position,height,weight,country,draft_year,draft_number,id_team,conference,division,team
Charles,Claxton,G-C,2.13,119.25,USA,1994,undrafted,2,East,Atlantic,Boston Celtics
Speedy,Claxton,G,1.8,76.5,USA,2000,undrafted,10,West,Pacific,Golden State Warriors
Nicolas,Claxton,F-C,2.11,96.75,USA,2019,31,3,East,Atlantic,Brooklyn Nets
Jim,Cleamons,G-C,1.9,83.25,USA,1971,13,6,East,Central,Cleveland Cavaliers
Mateen,Cleaves,G-C,1.88,94.5,USA,2000,14,9,East,Central,Detroit Pistons
John,Clemens,G-C,1.98,94.5,USA,1965,19,21,West,Northwest,Oklahoma City Thunder
Chris,Clemons,G,1.75,81.0,USA,undrafted,undrafted,11,West,Southwest,Houston Rockets
Antonius,Cleveland,G-C,1.96,87.75,USA,undrafted,undrafted,7,West,Southwest,Dallas Mavericks
Nat,Clifton,G-C,1.98,99.0,USA,undrafted,undrafted,20,East,Atlantic,New York Knicks
Donovan,Clingan,C,2.18,126.0,USA,2024,7,25,West,Northwest,Portland Trail Blazers
Bill,Closs,G-C,1.98,87.75,USA,undrafted,undrafted,10,West,Pacific,Golden State Warriors
Keith,Closs,G-C,2.21,95.4,USA,undrafted,undrafted,13,West,Pacific,LA Clippers
Noah,Clowney,F,2.06,94.5,USA,2023,21,3,East,Atlantic,Brooklyn Nets
Marion,Cluggish,G-C,2.08,105.75,USA,undrafted,undrafted,20,East,Atlantic,New York Knicks
Ben,Clyde,G-C,2.01,89.10000000000001,USA,1974,89,2,East,Atlantic,Boston Celtics
Richard,Coffey,G-C,1.98,95.4,USA,undrafted,undrafted,18,West,Northwest,Minnesota Timberwolves
Amir,Coffey,G,2.01,94.5,USA,undrafted,undrafted,13,West,Pacific,LA Clippers
Fred,Cofield,G-C,1.9,85.5,USA,1985,73,20,East,Atlantic,New York Knicks
John,Coker,G-C,2.13,113.85000000000001,USA,undrafted,undrafted,30,East,Southeast,Washington Wizards
Norris,Cole,G-C,1.88,78.75,USA,2011,28,16,East,Southeast,Miami Heat
Derrick,Coleman,G-C,2.08,121.5,USA,1990,1,3,East,Atlantic,Brooklyn Nets
Ben,Coleman,G-C,2.06,105.75,USA,1984,37,23,East,Atlantic,Philadelphia 76ers
Jack,Coleman,G-C,2.01,87.75,USA,1949,undrafted,26,West,Pacific,Sacramento Kings
Norris,Coleman,G-C,2.03,94.5,USA,1987,38,13,West,Pacific,LA Clippers
E.C.,Coleman,G-C,2.03,101.25,USA,1973,51,29,West,Northwest,Utah Jazz
Bimbo,Coles,G-C,1.88,81.9,USA,1990,undrafted,16,East,Southeast,Miami Heat
Isaiah,Collier,G,1.9,94.5,USA,2024,29,29,West,Northwest,Utah Jazz
Jason,Collier,G-C,2.13,117.0,USA,2000,15,1,East,Southeast,Atlanta Hawks
Don,Collins,G-C,1.98,85.5,USA,1980,18,30,East,Southeast,Washington Wizards
Jimmy,Collins,G-C,1.88,78.75,USA,1970,11,5,East,Central,Chicago Bulls
Mardy,Collins,G-C,1.98,99.0,USA,2006,29,20,East,Atlantic,New York Knicks
Jarron,Collins,G-C,2.11,112.05,USA,2001,52,29,West,Northwest,Utah Jazz
Jason,Collins,G-C,2.13,114.75,USA,2001,18,3,East,Atlantic,Brooklyn Nets
Doug,Collins,G-C,1.98,81.0,USA,1973,1,23,East,Atlantic,Philadelphia 76ers
John,Collins,F-C,2.06,101.7,USA,2017,19,29,West,Northwest,Utah Jazz
James,Collins,G-C,1.93,88.2,USA,1997,36,13,West,Pacific,LA Clippers
Sherron,Collins,G-C,1.8,92.25,USA,undrafted,undrafted,4,East,Southeast,Charlotte Hornets
Art,Collins,G-C,1.93,83.25,USA,1976,3,1,East,Southeast,Atlanta Hawks
Zach,Collins,F-C,2.11,112.5,USA,2017,undrafted,27,West,Southwest,San Antonio Spurs
Kyle,Collinsworth,G-C,1.98,94.5,USA,2016,undrafted,7,West,Southwest,Dallas Mavericks
Darren,Collison,G,1.83,78.75,USA,2009,21,14,West,Pacific,Los Angeles Lakers
Nick,Collison,G-C,2.08,114.75,USA,2003,12,21,West,Northwest,Oklahoma City Thunder
Joe,Colone,G-C,1.96,94.5,USA,undrafted,undrafted,20,East,Atlantic,New York Knicks
Sean,Colson,G-C,1.83,78.75,USA,undrafted,undrafted,11,West,Southwest,Houston Rockets
Bonzie,Colson,F,1.98,101.25,USA,undrafted,undrafted,17,East,Central,Milwaukee Bucks
Steve,Colter,G-C,1.9,74.25,USA,1984,33,30,East,Southeast,Washington Wizards
Chance,Comanche,C,2.08,94.5,USA,undrafted,undrafted,25,West,Northwest,Portland Trail Blazers
Leroy,Combs,G-C,2.03,94.5,USA,1983,26,12,East,Central,Indiana Pacers
Dallas,Comegys,G-C,2.06,92.25,USA,1987,21,3,East,Atlantic,Brooklyn Nets
Larry,Comley,G-C,1.96,94.5,USA,1961,91,30,East,Southeast,Washington Wizards
Gene,Conley,G-C,2.03,101.25,USA,1952,undrafted,2,East,Atlantic,Boston Celtics
Mike,Conley,G,1.83,78.75,USA,2007,4,18,West,Northwest,Minnesota Timberwolves
Ed,Conlin,G-C,1.98,90.0,USA,1955,5,23,East,Atlantic,Philadelphia 76ers
Marty,Conlon,G-C,2.11,110.25,USA,undrafted,undrafted,17,East,Central,Milwaukee Bucks
Pat,Connaughton,G,1.96,94.05,USA,2015,41,17,East,Central,Milwaukee Bucks
Lester,Conner,G-C,1.93,81.0,USA,1982,14,10,West,Pacific,Golden State Warriors
Chuck,Connors,G-C,1.96,85.5,USA,undrafted,undrafted,2,East,Atlantic,Boston Celtics
Will,Conroy,G-C,1.88,87.75,USA,undrafted,undrafted,11,West,Southwest,Houston Rockets
Jeff,Cook,G-C,2.08,96.75,USA,1978,49,24,West,Pacific,Phoenix Suns
Anthony,Cook,G-C,2.06,92.25,USA,1989,24,8,West,Northwest,Denver Nuggets
Bert,Cook,G-C,1.9,83.25,USA,1952,undrafted,20,East,Atlantic,New York Knicks
Norm,Cook,G-C,2.03,94.5,USA,1976,16,2,East,Atlantic,Boston Celtics
Daequan,Cook,G-C,1.96,94.5,USA,2007,21,16,East,Southeast,Miami Heat
Omar,Cook,G-C,1.85,85.5,USA,2001,31,25,West,Northwest,Portland Trail Blazers
Darwin,Cook,G-C,1.9,82.8,USA,1980,undrafted,3,East,Atlantic,Brooklyn Nets
Quinn,Cook,G,1.85,81.0,USA,undrafted,undrafted,26,West,Pacific,Sacramento Kings
Tyler,Cook,C,2.03,114.75,USA,undrafted,undrafted,5,East,Central,Chicago Bulls
Brian,Cook,G-C,2.06,112.5,USA,2003,24,14,West,Pacific,Los Angeles Lakers
Charles,Cooke,G-C,1.96,88.2,USA,undrafted,undrafted,19,West,Southwest,New Orleans Pelicans
Joe,Cooke,G-C,1.9,78.75,USA,1970,94,6,East,Central,Cleveland Cavaliers
David,Cooke,G-C,2.03,103.5,USA,undrafted,undrafted,26,West,Pacific,Sacramento Kings
Xavier,Cooks,G-C,2.03,82.35000000000001,Australia,undrafted,undrafted,30,East,Southeast,Washington Wizards
Jack,Cooley,G-C,2.08,123.3,USA,undrafted,undrafted,29,West,Northwest,Utah Jazz
Joe,Cooper,G-C,2.08,103.5,USA,1981,95,13,West,Pacific,LA Clippers
Duane,Cooper,G-C,1.85,83.25,USA,1992,36,14,West,Pacific,Los Angeles Lakers
Sharife,Cooper,G,1.85,79.2,USA,2021,48,6,East,Central,Cleveland Cavaliers
Wayne,Cooper,G-C,2.08,99.0,USA,1978,undrafted,8,West,Northwest,Denver Nuggets
Michael,Cooper,G-C,2.01,76.5,USA,1978,undrafted,14,West,Pacific,Los Angeles Lakers
Chuck,Cooper,G-C,1.96,94.5,USA,1950,undrafted,2,East,Atlantic,Boston Celtics
Tom,Copa,G-C,2.08,123.75,USA,undrafted,undrafted,27,West,Southwest,San Antonio Spurs
Chris,Copeland,G-C,2.03,105.75,USA,undrafted,undrafted,12,East,Central,Indiana Pacers
Hollis,Copeland,G-C,1.98,81.0,USA,1978,46,20,East,Atlantic,New York Knicks
Lanard,Copeland,G-C,1.98,85.5,USA,undrafted,undrafted,23,East,Atlantic,Philadelphia 76ers
Tyrone,Corbin,G-C,1.98,101.25,USA,1985,35,1,East,Southeast,Atlanta Hawks
Chris,Corchiani,G-C,1.83,83.25,USA,1991,36,22,East,Southeast,Orlando Magic
Ray,Corley,G-C,1.83,81.0,USA,1949,undrafted,23,East,Atlantic,Philadelphia 76ers
Petr,Cornelie,F,2.11,99.0,France,2016,53,8,West,Northwest,Denver Nuggets
Dave,Corzine,G-C,2.11,112.5,USA,1978,18,5,East,Central,Chicago Bulls
Matt,Costello,G-C,2.08,108.0,USA,undrafted,undrafted,27,West,Southwest,San Antonio Spurs
Larry,Costello,G-C,1.85,83.7,USA,1954,12,23,East,Atlantic,Philadelphia 76ers
Bryce,Cotton,G-C,1.85,74.25,USA,undrafted,undrafted,29,West,Northwest,Utah Jazz
James,Cotton,G-C,1.96,99.0,USA,1997,32,21,West,Northwest,Oklahoma City Thunder
John,Coughran,G-C,2.01,101.25,USA,1973,74,10,West,Pacific,Golden State Warriors
Bilal,Coulibaly,G,2.03,87.75,France,2023,7,30,East,Southeast,Washington Wizards
Ricky,Council IV,G,1.98,93.15,USA,undrafted,undrafted,23,East,Atlantic,Philadelphia 76ers
Mel,Counts,G-C,2.13,103.5,USA,1964,7,14,West,Pacific,Los Angeles Lakers
Steve,Courtin,G-C,1.85,84.60000000000001,USA,1964,24,23,East,Atlantic,Philadelphia 76ers
Joe,Courtney,G-C,2.03,105.75,USA,undrafted,undrafted,24,West,Pacific,Phoenix Suns
Marcus,Cousin,G-C,2.11,114.75,USA,undrafted,undrafted,29,West,Northwest,Utah Jazz
DeMarcus,Cousins,C,2.08,121.5,USA,2010,5,8,West,Northwest,Denver Nuggets
Bob,Cousy,G-C,1.85,78.75,USA,1950,3,2,East,Atlantic,Boston Celtics
Robert,Covington,F,2.01,94.05,USA,undrafted,undrafted,23,East,Atlantic,Philadelphia 76ers
Dave,Cowens,G-C,2.06,103.5,USA,1970,4,2,East,Atlantic,Boston Celtics
Johnny,Cox,G-C,1.93,81.0,USA,1959,28,30,East,Southeast,Washington Wizards
John,Cox,G-C,1.88,81.0,USA,1978,159,30,East,Southeast,Washington Wizards
Wesley,Cox,G-C,1.98,96.75,USA,1977,18,10,West,Pacific,Golden State Warriors
Allen,Crabbe,G-F,1.98,95.4,USA,2013,31,25,West,Northwest,Portland Trail Blazers
Torrey,Craig,F,1.96,99.45,USA,undrafted,undrafted,5,East,Central,Chicago Bulls
Jordan,Crawford,G-C,1.96,87.75,USA,2010,27,30,East,Southeast,Washington Wizards
Jamal,Crawford,G,1.96,90.0,USA,2000,8,13,West,Pacific,LA Clippers
Chris,Crawford,G-C,2.06,105.75,USA,1997,undrafted,1,East,Southeast,Atlanta Hawks
Isaiah,Crawford,F,1.98,99.0,USA,undrafted,undrafted,26,West,Pacific,Sacramento Kings
Freddie,Crawford,G-C,1.93,85.05,USA,1964,26,14,West,Pacific,Los Angeles Lakers
Joe,Crawford,G-C,1.96,94.5,USA,2008,58,20,East,Atlantic,New York Knicks
Mitchell,Creek,G-C,1.98,101.25,Australia,undrafted,undrafted,3,East,Atlantic,Brooklyn Nets
Jim,Creighton,G-C,2.03,90.0,USA,1972,undrafted,1,East,Southeast,Atlanta Hawks
Ron,Crevier,G-C,2.13,105.75,USA,1983,75,9,East,Central,Detroit Pistons
Hal,Crisler,G-C,1.9,96.75,USA,undrafted,undrafted,2,East,Atlantic,Boston Celtics
Joe,Crispin,G-C,1.83,83.25,USA,undrafted,undrafted,24,West,Pacific,Phoenix Suns
Charlie,Criss,G-C,1.73,74.25,USA,undrafted,undrafted,1,East,Southeast,Atlanta Hawks
Winston,Crite,G-C,2.01,104.85000000000001,USA,1987,53,24,West,Pacific,Phoenix Suns
Javaris,Crittenton,G-C,1.96,90.0,USA,2007,19,30,East,Southeast,Washington Wizards
Dillard,Crocker,G-C,1.93,92.25,USA,undrafted,undrafted,1,East,Southeast,Atlanta Hawks
Jeffrey,Crompton,G-C,2.11,126.0,USA,1978,undrafted,17,East,Central,Milwaukee Bucks
Terry,Crosby,G-C,1.93,87.75,USA,1979,62,26,West,Pacific,Sacramento Kings
Austin,Croshere,G-C,2.08,105.75,USA,1997,12,12,East,Central,Indiana Pacers
Pete,Cross,G-C,2.06,103.5,USA,1970,23,21,West,Northwest,Oklahoma City Thunder
Russell,Cross,G-C,2.08,96.75,USA,1983,6,10,West,Pacific,Golden State Warriors
Jeff,Cross,G-C,2.08,108.0,USA,1984,61,13,West,Pacific,LA Clippers
Francis,Crossin,G-C,1.85,74.25,USA,1947,6,10,West,Pacific,Golden State Warriors
John,Crotty,G-C,1.88,87.3,USA,undrafted,undrafted,29,West,Northwest,Utah Jazz
Mark,Crow,G-C,2.01,94.5,USA,1977,111,3,East,Atlantic,Brooklyn Nets
Corey,Crowder,G-C,1.96,96.3,USA,undrafted,undrafted,29,West,Northwest,Utah Jazz
Jae,Crowder,F,1.98,105.75,USA,2012,34,17,East,Central,Milwaukee Bucks
Jalen,Crutcher,G,1.85,78.75,USA,undrafted,undrafted,19,West,Southwest,New Orleans Pelicans
Jarrett,Culver,G,1.98,87.75,USA,2019,6,22,East,Southeast,Orlando Magic
Jarron,Cumberland,G,1.96,92.25,USA,undrafted,undrafted,25,West,Northwest,Portland Trail Blazers
Terry,Cummings,G-C,2.06,112.5,USA,1982,2,17,East,Central,Milwaukee Bucks
Vonteego,Cummings,G,1.9,85.5,USA,1999,26,10,West,Pacific,Golden State Warriors
Pat,Cummings,G-C,2.06,103.5,USA,1978,59,17,East,Central,Milwaukee Bucks
Cade,Cunningham,G-F,1.98,99.0,USA,2021,1,9,East,Central,Detroit Pistons
Dick,Cunningham,G-C,2.08,110.25,USA,1968,21,17,East,Central,Milwaukee Bucks
William,Cunningham,G-C,2.11,108.0,USA,undrafted,undrafted,3,East,Atlantic,Brooklyn Nets
Jared,Cunningham,G-C,1.93,87.75,USA,2012,24,6,East,Central,Cleveland Cavaliers
Billy,Cunningham,G-C,1.98,94.5,USA,1965,5,23,East,Atlantic,Philadelphia 76ers
Dante,Cunningham,F,2.03,103.5,USA,2009,33,19,West,Southwest,New Orleans Pelicans
Radisav,Curcic,G-C,2.08,123.75,Serbia,undrafted,undrafted,7,West,Southwest,Dallas Mavericks
Earl,Cureton,G-C,2.06,94.5,USA,1979,58,9,East,Central,Detroit Pistons
Bill,Curley,G-C,2.06,110.25,USA,1994,22,9,East,Central,Detroit Pistons
Fran,Curran,G-C,1.83,78.75,USA,undrafted,undrafted,26,West,Pacific,Sacramento Kings
Michael,Curry,G-C,1.96,94.5,USA,undrafted,undrafted,9,East,Central,Detroit Pistons
JamesOn,Curry,G-C,1.9,85.5,USA,2007,51,13,West,Pacific,LA Clippers
Eddy,Curry,G-C,2.13,132.75,USA,2001,4,5,East,Central,Chicago Bulls
Seth,Curry,G,1.85,83.25,USA,undrafted,undrafted,4,East,Southeast,Charlotte Hornets
Stephen,Curry,G,1.88,83.25,USA,2009,7,10,West,Pacific,Golden State Warriors
Dell,Curry,G-C,1.96,92.25,USA,1986,15,4,East,Southeast,Charlotte Hornets
Rastko,Cvetkovic,G-C,2.16,117.0,Serbia,undrafted,undrafted,8,West,Northwest,Denver Nuggets
Double,D,G-C,2.03,99.0,USA,1972,3,6,East,Central,Cleveland Cavaliers
Mike,D'Antoni,G-C,1.9,83.25,USA,1973,undrafted,26,West,Pacific,Sacramento Kings
Tristan,Da Silva,F,2.03,97.65,Germany,2024,18,22,East,Southeast,Orlando Magic
Pacome,Dadiet,F,2.03,94.5,France,2024,25,20,East,Atlantic,New York Knicks
Ed,Dahler,G-C,1.96,85.5,USA,1950,undrafted,10,West,Pacific,Golden State Warriors
Quintin,Dailey,G-C,1.9,81.0,USA,1982,7,5,East,Central,Chicago Bulls
Samuel,Dalembert,G-C,2.11,112.5,Haiti,2001,26,23,East,Atlantic,Philadelphia 76ers
Howie,Dallmar,G-C,1.93,90.0,USA,undrafted,undrafted,10,West,Pacific,Golden State Warriors
Erick,Dampier,G-C,2.11,119.25,USA,1996,undrafted,10,West,Pacific,Golden State Warriors
Lou,Dampier,G-C,1.83,76.5,USA,1967,38,27,West,Southwest,San Antonio Spurs
Bob,Dandridge,G-C,1.98,87.75,USA,1969,45,17,East,Central,Milwaukee Bucks
Mel,Daniels,G-C,2.06,99.0,USA,1967,9,3,East,Atlantic,Brooklyn Nets
Erik,Daniels,G-C,2.03,96.3,USA,undrafted,undrafted,26,West,Pacific,Sacramento Kings
Antonio,Daniels,G,1.93,92.25,USA,1997,4,27,West,Southwest,San Antonio Spurs
Caleb,Daniels,G,1.93,94.5,USA,undrafted,undrafted,16,East,Southeast,Miami Heat
Lloyd,Daniels,G-C,2.01,92.25,USA,undrafted,undrafted,27,West,Southwest,San Antonio Spurs
Dyson,Daniels,G,2.01,89.55,Australia,2022,8,1,East,Southeast,Atlanta Hawks
Marquis,Daniels,G-C,1.98,90.0,USA,undrafted,undrafted,7,West,Southwest,Dallas Mavericks
Troy,Daniels,G,1.93,90.0,USA,undrafted,undrafted,24,West,Pacific,Phoenix Suns
Sasha,Danilovic,G-C,1.98,90.0,Serbia,1992,43,16,East,Southeast,Miami Heat
N'Faly,Dante,C,2.11,103.5,Mali,undrafted,undrafted,11,West,Southwest,Houston Rockets
Adrian,Dantley,G-C,1.96,93.60000000000001,USA,1976,6,29,West,Northwest,Utah Jazz
Henry,Darcey,G-C,2.01,97.65,USA,undrafted,undrafted,1,East,Southeast,Atlanta Hawks
Yinka,Dare,G-C,2.13,119.25,USA,1994,14,3,East,Atlantic,Brooklyn Nets
Jesse,Dark,G-C,1.93,94.5,USA,1974,32,20,East,Atlantic,New York Knicks
Nate,Darling,G-C,1.98,90.0,Canada,undrafted,undrafted,13,West,Pacific,LA Clippers
Jimmy,Darrow,G-C,1.78,76.5,USA,1960,38,1,East,Southeast,Atlanta Hawks
Gigi,Datome,G-C,2.03,96.75,Italy,undrafted,undrafted,9,East,Central,Detroit Pistons
Brad,Daugherty,G-C,2.13,110.25,USA,1986,1,6,East,Central,Cleveland Cavaliers
Kornel,David,G-C,2.06,103.5,USA,undrafted,undrafted,5,East,Central,Chicago Bulls
Jermareo,Davidson,G-C,2.08,103.5,USA,2007,36,4,East,Southeast,Charlotte Hornets
Bob,Davies,G-C,1.85,78.75,USA,undrafted,undrafted,26,West,Pacific,Sacramento Kings
Brandon,Davies,G-C,2.08,108.0,USA,undrafted,undrafted,23,East,Atlantic,Philadelphia 76ers
Edward,Davis,G-C,2.01,87.75,USA,1972,113,17,East,Central,Milwaukee Bucks
Charlie,Davis,G-C,1.85,72.0,USA,1971,1,25,West,Northwest,Portland Trail Blazers
Bob,Davis,G-C,2.01,96.75,USA,1972,14,25,West,Northwest,Portland Trail Blazers
James,Davis,G-C,2.01,99.0,USA,1954,52,26,West,Pacific,Sacramento Kings
Mark,Davis,G-C,1.98,87.75,USA,1985,79,17,East,Central,Milwaukee Bucks
Brad,Davis,G-C,1.9,81.0,USA,1977,15,7,West,Southwest,Dallas Mavericks
Brian,Davis,G-C,2.01,90.0,USA,1992,48,18,West,Northwest,Minnesota Timberwolves
Jim,Davis,G-C,2.06,101.25,USA,1964,27,1,East,Southeast,Atlanta Hawks
Baron,Davis,G-C,1.9,95.4,USA,1999,3,4,East,Southeast,Charlotte Hornets
Walt,Davis,G-C,2.03,92.25,USA,1952,undrafted,10,West,Pacific,Golden State Warriors
Terence,Davis,G,1.93,90.45,USA,undrafted,undrafted,26,West,Pacific,Sacramento Kings
Ed,Davis,C,2.06,98.10000000000001,USA,2010,13,6,East,Central,Cleveland Cavaliers
Charlie,Davis,G-C,2.01,96.75,USA,1981,35,30,East,Southeast,Washington Wizards
Deyonta,Davis,G-C,2.11,106.65,USA,2016,31,15,West,Southwest,Memphis Grizzlies
Paul,Davis,G-C,2.11,121.5,USA,2006,34,13,West,Pacific,LA Clippers
Ron,Davis,G-C,1.98,89.10000000000001,USA,1976,undrafted,13,West,Pacific,LA Clippers
Johnny,Davis,G,1.93,87.75,USA,2022,undrafted,30,East,Southeast,Washington Wizards
Emanual,Davis,G-C,1.96,87.75,USA,undrafted,undrafted,21,West,Northwest,Oklahoma City Thunder
Harry,Davis,G-C,2.01,99.0,USA,1978,33,6,East,Central,Cleveland Cavaliers
Tyler,Davis,C,2.08,119.7,USA,undrafted,undrafted,21,West,Northwest,Oklahoma City Thunder
Mark,Davis,G-C,2.01,92.25,USA,1995,48,23,East,Atlantic,Philadelphia 76ers
Josh,Davis,G-C,2.03,105.75,USA,undrafted,undrafted,23,East,Atlantic,Philadelphia 76ers
Mel,Davis,G-C,1.98,99.0,USA,1973,14,20,East,Atlantic,New York Knicks
Dale,Davis,G-C,2.11,113.4,USA,1991,13,12,East,Central,Indiana Pacers
Glen,Davis,G-C,2.06,130.05,USA,2007,35,2,East,Atlantic,Boston Celtics
Johnny,Davis,G-C,1.88,76.5,USA,1976,22,12,East,Central,Indiana Pacers
Monti,Davis,G-C,2.01,92.25,USA,1980,21,7,West,Southwest,Dallas Mavericks
Mike,Davis,G-C,1.9,83.25,USA,1969,14,13,West,Pacific,LA Clippers
Terry,Davis,G-C,2.08,121.5,USA,undrafted,undrafted,7,West,Southwest,Dallas Mavericks
Michael,Davis,G-C,2.08,103.5,USA,undrafted,undrafted,20,East,Atlantic,New York Knicks
Anthony,Davis,F-C,2.08,113.85000000000001,USA,2012,1,14,West,Pacific,Los Angeles Lakers
Walter,Davis,G-C,1.98,86.85000000000001,USA,1977,5,24,West,Pacific,Phoenix Suns
Hubert,Davis,G-C,1.96,82.35000000000001,USA,1992,undrafted,20,East,Atlantic,New York Knicks
Ben,Davis,G-C,2.06,110.25,USA,1996,43,24,West,Pacific,Phoenix Suns
Ricky,Davis,G-C,2.01,87.75,USA,1998,21,6,East,Central,Cleveland Cavaliers
Ralph,Davis,G-C,1.93,81.0,USA,1960,17,30,East,Southeast,Washington Wizards
Antonio,Davis,G-C,2.06,110.25,USA,1990,45,12,East,Central,Indiana Pacers
JD,Davison,G,1.85,87.75,USA,2022,53,2,East,Atlantic,Boston Celtics
Johnny,Dawkins,G-C,1.88,74.25,USA,1986,undrafted,23,East,Atlantic,Philadelphia 76ers
Darryl,Dawkins,G-C,2.11,112.95,USA,1975,5,23,East,Atlantic,Philadelphia 76ers
Paul,Dawkins,G-C,1.96,85.5,USA,1979,185,29,West,Northwest,Utah Jazz
Andre,Dawkins,G-C,1.96,98.55,USA,undrafted,undrafted,16,East,Southeast,Miami Heat
Eric,Dawson,G-C,2.06,114.75,USA,undrafted,undrafted,27,West,Southwest,San Antonio Spurs
Branden,Dawson,G-C,1.98,101.25,USA,2015,56,13,West,Pacific,LA Clippers
Tony,Dawson,G-C,2.01,96.75,USA,undrafted,undrafted,26,West,Pacific,Sacramento Kings
Todd,Day,G-C,1.98,84.60000000000001,USA,1992,8,17,East,Central,Milwaukee Bucks
Austin,Daye,G-C,2.11,99.0,USA,2009,15,9,East,Central,Detroit Pistons
Darren,Daye,G-C,2.03,99.0,USA,1983,57,30,East,Southeast,Washington Wizards
Darius,Days,F,2.01,110.25,USA,undrafted,undrafted,11,West,Southwest,Houston Rockets
Nando,De Colo,G-C,1.96,87.75,France,2009,53,27,West,Southwest,San Antonio Spurs
Dave,DeBusschere,G-C,1.98,99.0,USA,1962,undrafted,9,East,Central,Detroit Pistons
Andrew,DeClercq,G-C,2.08,114.75,USA,1995,34,22,East,Southeast,Orlando Magic
Javin,DeLaurier,F,2.08,105.3,USA,undrafted,undrafted,17,East,Central,Milwaukee Bucks
Nate,DeLong,G-C,1.98,99.0,USA,1950,undrafted,1,East,Southeast,Atlanta Hawks
DeMar,DeRozan,G,1.98,99.0,USA,2009,9,26,West,Pacific,Sacramento Kings
Hank,DeZonie,G-C,1.96,96.75,USA,undrafted,undrafted,1,East,Southeast,Atlanta Hawks
Greg,Deane,G-C,1.93,85.5,USA,1979,67,29,West,Northwest,Utah Jazz
Gabriel,Deck,G-C,1.98,103.95,Argentina,undrafted,undrafted,21,West,Northwest,Oklahoma City Thunder
Dewayne,Dedmon,C,2.08,110.25,USA,undrafted,undrafted,23,East,Atlantic,Philadelphia 76ers
Archie,Dees,G-C,2.03,92.25,USA,1958,2,9,East,Central,Detroit Pistons
Terry,Dehere,G-C,1.93,85.5,USA,1993,13,13,West,Pacific,LA Clippers
Bryce,Dejean-Jones,G-C,1.98,91.35000000000001,USA,undrafted,undrafted,19,West,Southwest,New Orleans Pelicans
Sam,Dekker,F,2.06,103.5,USA,2015,18,28,East,Atlantic,Toronto Raptors
Vinny,Del Negro,G-C,1.93,90.0,USA,1988,29,27,West,Southwest,San Antonio Spurs
Malcolm,Delaney,G-C,1.9,85.5,USA,undrafted,undrafted,1,East,Southeast,Atlanta Hawks
Bison,Dele,G-C,2.11,117.0,USA,1991,undrafted,8,West,Northwest,Denver Nuggets
Carlos,Delfino,G-C,1.98,103.5,Argentina,2003,25,9,East,Central,Detroit Pistons
Angel,Delgado,C,2.08,110.25,Dominican Republic,2018,undrafted,13,West,Pacific,LA Clippers
Tony,Delk,G-C,1.88,85.05,USA,1996,16,24,West,Pacific,Phoenix Suns
Matthew,Dellavedova,G,1.9,90.0,Australia,undrafted,undrafted,26,West,Pacific,Sacramento Kings
Fennis,Dembo,G-C,1.96,96.75,USA,1988,undrafted,9,East,Central,Detroit Pistons
Larry,Demic,G-C,2.06,101.25,USA,1979,9,20,East,Atlantic,New York Knicks
Dell,Demps,G-C,1.9,92.25,USA,undrafted,undrafted,27,West,Southwest,San Antonio Spurs
George,Dempsey,G-C,1.9,85.5,USA,1951,68,10,West,Pacific,Golden State Warriors
Luol,Deng,F,2.06,106.65,United Kingdom,2004,7,5,East,Central,Chicago Bulls
Kenny,Dennard,G-C,2.03,99.0,USA,1981,78,26,West,Pacific,Sacramento Kings
Dexter,Dennis,G,1.96,94.5,USA,undrafted,undrafted,7,West,Southwest,Dallas Mavericks
RayJ,Dennis,G,1.88,81.0,USA,undrafted,undrafted,30,East,Southeast,Washington Wizards
Justin,Dentmon,G-C,1.8,83.25,USA,undrafted,undrafted,28,East,Atlantic,Toronto Raptors
Randy,Denton,G-C,2.08,108.0,USA,1971,61,1,East,Southeast,Atlanta Hawks
Rod,Derline,G-C,1.83,78.75,USA,1974,169,21,West,Northwest,Oklahoma City Thunder
Marcus,Derrickson,F,2.01,112.05,USA,undrafted,undrafted,10,West,Pacific,Golden State Warriors
Dave,Deutsch,G-C,1.85,76.5,USA,1966,98,20,East,Atlantic,New York Knicks
Walter,Devlin,G-C,1.96,87.75,USA,1955,9,9,East,Central,Detroit Pistons
Ernie,DiGregorio,G-C,1.83,81.0,USA,1973,3,13,West,Pacific,LA Clippers
Donte,DiVincenzo,G,1.93,91.35000000000001,USA,2018,17,18,West,Northwest,Minnesota Timberwolves
Moussa,Diabate,F,2.06,94.5,France,2022,43,4,East,Southeast,Charlotte Hornets
Mamadi,Diakite,F,2.06,102.60000000000001,Guinea,undrafted,undrafted,24,West,Pacific,Phoenix Suns
Derrick,Dial,G-C,1.93,82.8,USA,1998,52,27,West,Southwest,San Antonio Spurs
Cheick,Diallo,F,2.03,98.55,Mali,2016,33,16,East,Southeast,Miami Heat
Hamidou,Diallo,G,1.96,90.9,USA,2018,45,30,East,Southeast,Washington Wizards
Boris,Diaw,G-C,2.03,112.5,France,2003,21,27,West,Southwest,San Antonio Spurs
Yakhouba,Diawara,G-C,2.01,101.25,USA,undrafted,undrafted,8,West,Northwest,Denver Nuggets
Guillermo,Diaz,G-C,1.88,83.25,USA,2006,52,13,West,Pacific,LA Clippers
